Case ID,Activity,Complete Timestamp,Resource
Case1,Assign seriousness,2012-10-09 14:50:17+00:00,Value 1
Case1,Take in charge ticket,2012-10-09 14:51:01+00:00,Value 1
Case1,Take in charge ticket,2012-10-12 15:02:56+00:00,Value 2
Case1,Resolve ticket,2012-10-25 11:54:26+00:00,Value 1
Case1,Closed,2012-11-09 12:54:39+00:00,Value 3
Case2,Assign seriousness,2012-04-03 08:55:38+00:00,Value 4
Case2,Take in charge ticket,2012-04-03 08:55:53+00:00,Value 4
Case2,Resolve ticket,2012-04-05 09:15:52+00:00,Value 4
Case2,Closed,2012-05-19 09:00:28+00:00,Value 5
Case3,Assign seriousness,2010-10-29 10:14:06+00:00,Value 6
Case3,Take in charge ticket,2010-11-03 16:16:11+00:00,Value 7
Case3,Resolve ticket,2010-11-03 16:21:17+00:00,Value 7
Case3,Closed,2010-11-30 11:20:18+00:00,Value 5
Case4,Assign seriousness,2010-12-15 14:31:53+00:00,Value 8
Case4,Take in charge ticket,2010-12-16 08:01:07+00:00,Value 2
Case4,Resolve ticket,2010-12-16 08:08:19+00:00,Value 2
Case4,Closed,2011-02-12 14:40:42+00:00,Value 5
Case5,Assign seriousness,2012-04-03 13:08:32+00:00,Value 9
Case5,Take in charge ticket,2012-04-03 13:45:33+00:00,Value 10
Case5,Resolve ticket,2012-04-03 13:47:22+00:00,Value 10
Case5,Take in charge ticket,2012-04-03 14:15:02+00:00,Value 10
Case5,Resolve ticket,2012-04-03 16:07:28+00:00,Value 10
Case5,Closed,2012-05-25 13:10:28+00:00,Value 5
Case6,Assign seriousness,2011-10-25 15:13:58+00:00,Value 2
Case6,Take in charge ticket,2011-10-25 15:58:55+00:00,Value 2
Case6,Resolve ticket,2011-10-26 09:54:46+00:00,Value 2
Case6,Closed,2011-12-10 16:20:56+00:00,Value 5
Case7,Assign seriousness,2013-11-06 10:47:35+00:00,Value 1
Case7,Assign seriousness,2013-11-06 10:48:53+00:00,Value 1
Case7,Assign seriousness,2013-11-22 08:00:08+00:00,Value 2
Case7,Take in charge ticket,2013-11-25 08:18:07+00:00,Value 11
Case7,Resolve ticket,2013-11-25 08:57:19+00:00,Value 11
Case7,Closed,2013-12-10 08:57:37+00:00,Value 3
Case8,Assign seriousness,2012-07-05 08:30:32+00:00,Value 1
Case8,Take in charge ticket,2012-07-05 09:25:45+00:00,Value 6
Case8,Resolve ticket,2012-07-05 09:44:46+00:00,Value 6
Case8,Closed,2012-09-02 08:40:27+00:00,Value 5
Case9,Insert ticket,2010-05-07 13:02:21+00:00,Value 12
Case9,Assign seriousness,2010-05-07 13:02:34+00:00,Value 12
Case9,Take in charge ticket,2010-05-24 10:26:28+00:00,Value 6
Case9,Resolve ticket,2010-05-25 15:35:44+00:00,Value 12
Case9,Closed,2010-06-09 15:35:56+00:00,Value 5
Case10,Assign seriousness,2010-02-10 08:50:20+00:00,Value 2
Case10,Take in charge ticket,2010-03-19 08:47:06+00:00,Value 2
Case10,Resolve ticket,2010-03-19 08:47:13+00:00,Value 2
Case10,Closed,2010-04-03 07:47:38+00:00,Value 5
Case11,Assign seriousness,2011-12-21 15:24:41+00:00,Value 4
Case11,Take in charge ticket,2011-12-21 15:25:34+00:00,Value 4
Case11,Resolve ticket,2011-12-22 09:55:43+00:00,Value 4
Case11,Closed,2012-01-21 15:30:31+00:00,Value 5
Case12,Assign seriousness,2013-03-18 10:47:34+00:00,Value 4
Case12,Take in charge ticket,2013-03-18 15:03:49+00:00,Value 2
Case12,Resolve ticket,2013-04-03 07:13:38+00:00,Value 2
Case12,Closed,2013-04-18 07:13:53+00:00,Value 3
Case13,Assign seriousness,2012-12-17 09:47:49+00:00,Value 4
Case13,Take in charge ticket,2013-01-02 09:22:43+00:00,Value 4
Case13,Resolve ticket,2013-01-04 10:29:36+00:00,Value 4
Case13,Closed,2013-01-19 10:29:51+00:00,Value 3
Case14,Assign seriousness,2011-07-05 13:47:08+00:00,Value 13
Case14,Take in charge ticket,2011-07-05 13:47:22+00:00,Value 13
Case14,Resolve ticket,2011-07-05 13:52:37+00:00,Value 13
Case14,Closed,2011-08-05 13:50:21+00:00,Value 5
Case15,Assign seriousness,2013-02-20 09:58:27+00:00,Value 2
Case15,Assign seriousness,2013-03-08 08:25:42+00:00,Value 2
Case15,Take in charge ticket,2013-03-08 08:30:43+00:00,Value 9
Case15,Resolve ticket,2013-03-08 08:34:08+00:00,Value 9
Case15,Closed,2013-03-23 08:34:25+00:00,Value 3
Case16,Assign seriousness,2012-02-22 14:16:52+00:00,Value 1
Case16,Take in charge ticket,2012-02-22 16:14:07+00:00,Value 9
Case16,Take in charge ticket,2012-02-22 16:23:57+00:00,Value 1
Case16,Resolve ticket,2012-02-23 09:47:38+00:00,Value 9
Case16,Closed,2012-03-24 14:20:19+00:00,Value 5
Case17,Assign seriousness,2011-10-14 07:10:47+00:00,Value 1
Case17,Take in charge ticket,2011-11-02 16:17:52+00:00,Value 2
Case17,Resolve ticket,2011-11-09 13:31:37+00:00,Value 2
Case17,Closed,2011-11-24 15:57:55+00:00,Value 5
Case18,Assign seriousness,2013-03-01 16:06:11+00:00,Value 1
Case18,Take in charge ticket,2013-03-18 14:04:03+00:00,Value 1
Case18,Resolve ticket,2013-03-19 10:22:40+00:00,Value 1
Case18,Resolve ticket,2013-03-19 10:22:40+00:00,Value 1
Case18,Closed,2013-04-03 09:23:01+00:00,Value 3
Case19,Assign seriousness,2010-07-07 07:54:04+00:00,Value 2
Case19,Take in charge ticket,2010-07-09 10:10:52+00:00,Value 7
Case19,Resolve ticket,2010-07-09 10:11:18+00:00,Value 7
Case19,Closed,2010-08-07 08:00:22+00:00,Value 5
Case20,Assign seriousness,2013-05-09 07:10:37+00:00,Value 14
Case20,Take in charge ticket,2013-06-04 13:33:01+00:00,Value 9
Case20,Wait,2013-06-10 09:06:43+00:00,Value 9
Case20,Resolve ticket,2013-06-19 09:12:02+00:00,Value 9
Case20,Closed,2013-07-04 09:12:15+00:00,Value 3
Case21,Assign seriousness,2011-01-14 15:15:21+00:00,Value 8
Case21,Take in charge ticket,2011-01-27 08:06:37+00:00,Value 2
Case21,Resolve ticket,2011-01-27 10:19:15+00:00,Value 2
Case21,Closed,2011-02-26 10:19:37+00:00,Value 5
Case22,Assign seriousness,2012-07-23 07:49:04+00:00,Value 1
Case22,Take in charge ticket,2012-07-23 07:49:14+00:00,Value 1
Case22,Wait,2012-07-23 08:51:59+00:00,Value 1
Case22,Resolve ticket,2012-08-27 10:05:23+00:00,Value 1
Case22,Closed,2012-09-11 10:05:33+00:00,Value 3
Case23,Assign seriousness,2012-12-19 16:33:23+00:00,Value 13
Case23,Take in charge ticket,2013-01-03 08:26:14+00:00,Value 2
Case23,Resolve ticket,2013-01-22 15:50:53+00:00,Value 1
Case23,Closed,2013-02-06 15:51:06+00:00,Value 3
Case24,Assign seriousness,2010-04-27 09:49:56+00:00,Value 2
Case24,Take in charge ticket,2010-06-08 11:06:56+00:00,Value 2
Case24,Resolve ticket,2010-06-08 14:46:16+00:00,Value 2
Case24,Closed,2010-06-23 14:46:28+00:00,Value 5
Case25,Assign seriousness,2010-12-30 09:27:17+00:00,Value 13
Case25,Take in charge ticket,2010-12-30 13:14:04+00:00,Value 2
Case25,Resolve ticket,2010-12-30 15:16:35+00:00,Value 2
Case25,Closed,2011-02-16 09:30:28+00:00,Value 5
Case26,Assign seriousness,2011-03-31 07:28:47+00:00,Value 2
Case26,Take in charge ticket,2011-03-31 07:31:59+00:00,Value 2
Case26,Wait,2011-03-31 08:39:41+00:00,Value 2
Case26,Take in charge ticket,2011-03-31 11:00:28+00:00,Value 2
Case26,Resolve ticket,2011-03-31 11:00:41+00:00,Value 2
Case26,Closed,2011-05-05 09:50:46+00:00,Value 5
Case27,Assign seriousness,2011-11-24 14:02:16+00:00,Value 1
Case27,Take in charge ticket,2011-11-24 14:02:35+00:00,Value 1
Case27,Resolve ticket,2011-12-12 09:04:47+00:00,Value 13
Case27,Closed,2011-12-27 09:05:04+00:00,Value 5
Case28,Assign seriousness,2013-10-25 15:53:59+00:00,Value 9
Case28,Take in charge ticket,2013-10-25 15:54:05+00:00,Value 9
Case28,Create SW anomaly,2013-10-25 15:54:12+00:00,Value 9
Case28,Require upgrade,2013-10-25 15:54:23+00:00,Value 9
