Source,Target,Weight,Effect,Strength
W_Completeren aanvraag,W_Nabellen incomplete dossiers,1.0,Promote,1.0
A_PREACCEPTED,A_DECLINED,0.8157472000578364,Promote,0.8157472000578364
A_PREACCEPTED,A_PARTLYSUBMITTED,-0.77063257791744,Inhibit,0.77063257791744
W_Completeren aanvraag,A_PARTLYSUBMITTED,-0.7438545213839691,Inhibit,0.7438545213839691
A_PARTLYSUBMITTED,A_PARTLYSUBMITTED,0.683778952116762,Promote,0.683778952116762
W_Completeren aanvraag,O_DECLINED,0.653876179103356,Promote,0.653876179103356
A_PREACCEPTED,O_DECLINED,0.6461451136883779,Promote,0.6461451136883779
A_PARTLYSUBMITTED,W_Nabellen offertes,0.5329283499754218,Promote,0.5329283499754218
A_PREACCEPTED,W_Nabellen incomplete dossiers,-0.47336021617180557,Inhibit,0.47336021617180557
W_Afhandelen leads,A_ACTIVATED,0.46872263643358036,Promote,0.46872263643358036
W_Afhandelen leads,W_Nabellen incomplete dossiers,-0.4544051663091783,Inhibit,0.4544051663091783
A_SUBMITTED,W_Nabellen offertes,0.453511195725927,Promote,0.453511195725927
A_PARTLYSUBMITTED,O_DECLINED,-0.4099266501998267,Inhibit,0.4099266501998267
W_Completeren aanvraag,W_Valideren aanvraag,-0.39316262908733757,Inhibit,0.39316262908733757
A_SUBMITTED,A_PARTLYSUBMITTED,-0.3904721651679808,Inhibit,0.3904721651679808
W_Completeren aanvraag,A_ACTIVATED,0.3549254137477592,Promote,0.3549254137477592
W_Afhandelen leads,A_APPROVED,0.3386315490186539,Promote,0.3386315490186539
O_CREATED,A_PARTLYSUBMITTED,-0.3370817728845881,Inhibit,0.3370817728845881
W_Valideren aanvraag,W_Nabellen incomplete dossiers,0.3290203678564224,Promote,0.3290203678564224
A_PARTLYSUBMITTED,A_ACTIVATED,-0.3154127446548756,Inhibit,0.3154127446548756
A_SUBMITTED,O_DECLINED,0.30718836925484244,Promote,0.30718836925484244
O_SENT_BACK,A_PARTLYSUBMITTED,-0.3052749269139273,Inhibit,0.3052749269139273
A_PREACCEPTED,A_ACTIVATED,0.30053351282132534,Promote,0.30053351282132534
A_ACCEPTED,W_Nabellen incomplete dossiers,-0.2995560330641558,Inhibit,0.2995560330641558
W_Nabellen offertes,A_PARTLYSUBMITTED,-0.2931966290500181,Inhibit,0.2931966290500181
A_PREACCEPTED,A_APPROVED,0.2827436138192464,Promote,0.2827436138192464
W_Nabellen offertes,A_PREACCEPTED,0.2740986209508584,Promote,0.2740986209508584
A_PARTLYSUBMITTED,O_CANCELLED,-0.27312735355298073,Inhibit,0.27312735355298073
A_ACCEPTED,A_PARTLYSUBMITTED,-0.27289748165136807,Inhibit,0.27289748165136807
A_PARTLYSUBMITTED,W_Valideren aanvraag,-0.26973010925522095,Inhibit,0.26973010925522095
